data_name,price,links,index_,discount_list,discount_percent,Gift_list,RAM_SSD,Evaluate_list,Evaluate_count_list
MSI Gaming Thin 15 B12UC i5 12450H (2045VN),17.490.000₫,https://www.thegioididong.com/laptop/msi-thin-15-b12uc-i5-2045vn,82,20.990.000₫,-16%,990.000₫,RAM 16 GB SSD 512 GB,,
Dell Inspiron 15 3530 i7 1355U (P16WD),21.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-p16wd,83,23.490.000₫,-6%,100.000₫,RAM 16 GB SSD 1 TB,5,1 đánh giá
Dell Inspiron 15 3520 i5 1235U (i5U085W11BLU),15.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu,84,,,100.000₫,RAM 8 GB SSD 512 GB,4.1,24 đánh giá
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN229W),21.490.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn229w,85,25.990.000₫,-17%,1.090.000₫,RAM 16 GB SSD 1 TB,3.8,13 đánh giá
Acer Aspire 5 A514 56P 742F i7 1355U (NX.KHRSV.005),15.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-5-a514-56p-742f-i7-nxkhrsv005,86,19.990.000₫,-20%,990.000₫,RAM 16 GB SSD 512 GB,,
HP 240 G9 i5 1235U (9T2G2PT),15.990.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i5-9t2g2pt,87,19.590.000₫,-18%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Acer Aspire 5 A515 58P 774R i7 1355U (NX.KHJSV.005),15.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-774r-i7-nxkhjsv005,88,19.990.000₫,-20%,990.000₫,RAM 16 GB SSD 512 GB,,
Asus Vivobook S 16 OLED S5606MA Ultra 5 125H (MX050W),24.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-s-16-oled-s5606ma-ultra-5-mx050w,89,27.990.000₫,-10%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Asus Vivobook S 14 Flip TP3402VA i5 13500H (LZ031W),18.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i5-lz031w,90,20.990.000₫,-9%,1.090.000₫,RAM 16 GB SSD 512 GB,4.4,24 đánh giá
HP 15s fq5229TU i3 1215U (8U237PA),10.290.000₫,https://www.thegioididong.com/laptop/hp-15s-fq5229tu-i3-8u237pa?utm_flashsale=1,91,13.690.000₫,-24%,1.190.000₫,RAM 8 GB SSD 512 GB,4.1,19 đánh giá
MSI Gaming Katana 15 B13UDXK i7 13620H (2077VN),23.990.000₫,https://www.thegioididong.com/laptop/msi-katana-15-b13udxk-i7-2077vn,92,26.990.000₫,-11%,990.000₫,RAM 16 GB SSD 1 TB,,
Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H (83DA0020VN),26.490.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da0020vn,93,28.690.000₫,-7%,1.090.000₫,RAM 32 GB SSD 1 TB,,
HP Gaming VICTUS 16 r0130TX i5 13500H (8C5N5PA),23.490.000₫,https://www.thegioididong.com/laptop/hp-gaming-victus-16-r0130tx-i5-8c5n5pa,94,29.690.000₫,-20%,1.190.000₫,RAM 16 GB SSD 512 GB,3.5,2 đánh giá
Lenovo Ideapad 3 15IAU7 i7 1255U (82RK00X0VN),16.490.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i7-82rk00x0vn,95,18.990.000₫,-13%,1.090.000₫,RAM 16 GB SSD 1 TB,3.3,3 đánh giá
Lenovo V15 G4 IRU i5 1335U (83A1000LVN),17.990.000₫,https://www.thegioididong.com/laptop/lenovo-v15-g4-iru-i5-83a1000lvn,96,,,1.090.000₫,RAM 16 GB SSD 512 GB,4,1 đánh giá
Dell Latitude 3440 i5 1235U (L3440-I51235U-16G512G),16.990.000₫,https://www.thegioididong.com/laptop/dell-latitude-3440-i5-l3440i51235u16g512g,97,18.990.000₫,-10%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Dell Vostro 15 3520 i5 1235U (V3520-i5U165W11GRU),16.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-v3520i5u165w11gru,98,16.990.000₫,,100.000₫,RAM 16 GB SSD 512 GB,,
MSI Modern 15 B12MO i5 1235U (625VN),11.490.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn,99,13.990.000₫,-17%,1.090.000₫,RAM 8 GB SSD 512 GB,4,7 đánh giá
